"SPECIES_CD","STRATA_2020","STRATUM_WEIGHT","whSTD"
"PRFI","S01",0.202830934682904,0.159541026572765
"PRFI","S02",0.0267278190732247,0.202685476259378
"PRFI","S03",0.0109916179028942,0.0269135017593569
"PRFI","S04",0.011624229005219,0.0454613860462177
"PRFI","S05",0.108255574885339,0.117296240831
"PRFI","S06",0.0105171595761506,0.0202190751912603
"PRFI","S07",0.0728293531551479,0.206412361527486
"PRFI","S08",0.0137592914755654,0.0588624790061463
"PRFI","S09",0.0103590068005694,0.045992972299285
"PRFI","S10",0.080420686383046,0.258554150572011
"PRFI","S11",0.0320259370551953,0.152961246913494
"PRFI","S12",0.0290210343191523,0.15309161166004
"PRFI","S13",0.0686383046022458,0.05954343288506
"PRFI","S14",0.0905424640202436,0.168240139549585
"PRFI","S15",0.019848173335442,0.0416305017877523
"PRFI","S16",0.027281353787759,0.0406626398030994
"PRFI","S17",0.0422267910801835,4.22267910801835e-05
"PRFI","S18",0.00735410406452633,7.35410406452633e-06
"PRFI","S19",0.00434920132848331,4.34920132848331e-06
"PRFI","S20",0.0828720544045548,8.28720544045548e-05
"PRFI","S21",0.0183457219674205,0.0110591138088774
"PRFI","S22",0.0291791870947335,0.0215193713255945
"ETCA","S05",0.0746659394600491,0.0142593831674674
"ETCA","S06",0.00725388601036269,7.25388601036269e-06
"ETCA","S07",0.0502317971093537,0.00921670883985285
"ETCA","S08",0.00949004635942187,9.49004635942187e-06
"ETCA","S09",0.00714480501772566,7.14480501772566e-06
"ETCA","S10",0.0554676847559313,0.0375928738097827
"ETCA","S11",0.0220889010089992,0.00987330422347898
"ETCA","S12",0.0200163621488956,0.0237738577418862
"ETCA","S13",0.0473411508044723,0.073644609128042
"ETCA","S14",0.0624488682847014,0.0962189240464401
"ETCA","S15",0.0136896645759476,0.0324222699502293
"ETCA","S16",0.0188164712298882,0.0584812329260293
"ETCA","S17",0.0801745295882193,0.044234080287848
"ETCA","S18",0.0092718843741478,0.0181207475249966
"ETCA","S19",0.00850831742568857,0.0133632475798208
"ETCA","S20",0.176329424597764,0.281423549804208
"ETCA","S21",0.038014725934006,0.0974958848278007
"ETCA","S22",0.0727024815925825,0.222238728848237
"ETCA","S23",0.0327242977911099,0.0121657248308966
"ETCA","S24",0.193618761930734,0.113682216966418
"ETCO","S13",0.0580387491502379,5.80387491502379e-05
"ETCO","S14",0.0777532290958532,7.77532290958532e-05
"ETCO","S15",0.0174201223657376,1.74201223657376e-05
"ETCO","S16",0.0248980285520054,0.0147164770382044
"ETCO","S17",0.124915023793338,0.000124915023793338
"ETCO","S18",0.0144459551325629,0.0211309249670293
"ETCO","S19",0.013256288239293,0.0111314527645557
"ETCO","S20",0.274728076138681,0.000274728076138681
"ETCO","S21",0.0592284160435078,0.0475532943805452
"ETCO","S22",0.113273283480625,0.289555812505415
"ETCO","S23",0.0345853161114888,3.45853161114888e-05
"ETCO","S24",0.187457511896669,0.0760377386941729
