"Island","STRATA_2020","PSU_COUNT"
"Big Island","S01",412
"Big Island","S02",142
"Big Island","S03",27
"Big Island","S04",97
"Big Island","S05",224
"Big Island","S06",34
"Big Island","S07",185
"Big Island","S08",63
"Big Island","S09",54
"Big Island","S10",371
"Big Island","S11",122
"Big Island","S12",242
"Big Island","S13",132
"Big Island","S14",299
"Big Island","S15",60
"Big Island","S16",159
"Big Island","S17",317
"Big Island","S18",27
"Big Island","S19",18
"Big Island","S20",1045
"Big Island","S21",175
"Big Island","S22",353
"Big Island","S23",143
"Big Island","S24",2060
"Kauai","S01",293
"Kauai","S02",43
"Kauai","S03",21
"Kauai","S04",8
"Kauai","S05",26
"Kauai","S06",19
"Kauai","S07",16
"Kauai","S08",6
"Kauai","S09",12
"Kauai","S10",47
"Kauai","S11",19
"Kauai","S12",24
"Kauai","S13",17
"Kauai","S14",40
"Kauai","S15",1
"Kauai","S16",20
"Kauai","S17",33
"Kauai","S18",1
"Kauai","S19",2
"Kauai","S20",151
"Kauai","S21",45
"Kauai","S22",72
"Kauai","S23",10
"Kauai","S24",253
"Maui Nui","S01",1775
"Maui Nui","S02",88
"Maui Nui","S03",60
"Maui Nui","S04",25
"Maui Nui","S05",1068
"Maui Nui","S06",64
"Maui Nui","S07",658
"Maui Nui","S08",76
"Maui Nui","S09",43
"Maui Nui","S10",495
"Maui Nui","S11",190
"Maui Nui","S12",54
"Maui Nui","S13",695
"Maui Nui","S14",685
"Maui Nui","S15",140
"Maui Nui","S16",114
"Maui Nui","S17",1075
"Maui Nui","S18",134
"Maui Nui","S19",112
"Maui Nui","S20",1539
"Maui Nui","S21",308
"Maui Nui","S22",520
"Maui Nui","S23",606
"Maui Nui","S24",1467
"Niihau","S01",158
"Niihau","S02",12
"Niihau","S03",5
"Niihau","S04",2
"Niihau","S05",15
"Niihau","S06",2
"Niihau","S07",11
"Niihau","S08",2
"Niihau","S09",2
"Niihau","S10",16
"Niihau","S11",6
"Niihau","S12",14
"Niihau","S13",5
"Niihau","S14",29
"Niihau","S15",7
"Niihau","S16",15
"Niihau","S17",14
"Niihau","S19",1
"Niihau","S20",101
"Niihau","S21",35
"Niihau","S22",65
"Niihau","S24",236
"Oahu","S01",425
"Oahu","S02",79
"Oahu","S03",33
"Oahu","S04",24
"Oahu","S05",36
"Oahu","S06",14
"Oahu","S07",51
"Oahu","S08",27
"Oahu","S09",20
"Oahu","S10",88
"Oahu","S11",68
"Oahu","S12",33
"Oahu","S13",19
"Oahu","S14",92
"Oahu","S15",43
"Oahu","S16",37
"Oahu","S17",31
"Oahu","S18",8
"Oahu","S19",23
"Oahu","S20",397
"Oahu","S21",134
"Oahu","S22",323
"Oahu","S23",35
"Oahu","S24",889
