"STRATA_2020","PSU_COUNT","STRATUM_WEIGHT"
"S01",3063,0.12971668148901
"S02",364,0.0154152373692458
"S03",146,0.00618303476898319
"S04",156,0.00660653030110532
"S05",1369,0.0579765383475204
"S06",133,0.00563249057722441
"S07",921,0.0390039385084487
"S08",174,0.00736882225892517
"S09",131,0.00554779147079998
"S10",1017,0.0430694956168212
"S11",405,0.0171515690509465
"S12",367,0.0155422860288824
"S13",868,0.0367594121882014
"S14",1145,0.0484902384279846
"S15",251,0.0106297378562656
"S16",345,0.0146105958582137
"S17",1470,0.062253843221954
"S18",170,0.00719942404607631
"S19",156,0.00660653030110532
"S20",3233,0.136916105535087
"S21",697,0.0295176385889129
"S22",1333,0.0564519544318807
"S23",794,0.0336255452504976
"S24",4905,0.207724558505908
